label	predict	radius	time
1	-1.0	-1.0	0:02:31.290263
1	1	0.1192	0:00:29.009452
1	16	0.4593	0:00:10.397728
1	1	0.186	0:00:12.828345
1	1	0.4356	0:00:22.963009
8	8	0.1412	0:00:37.638265
8	-1.0	-1.0	0:02:42.018253
8	-1.0	-1.0	0:02:32.814146
8	-1.0	-1.0	0:02:43.663320
8	8	0.1096	0:01:04.643243
10	8	0.3221	0:00:11.590869
10	-1.0	-1.0	0:02:40.657492
10	8	0.2514	0:00:08.187482
10	8	0.083	0:02:22.987091
10	10	0.186	0:00:25.012708
12	8	0.2238	0:00:11.446274
12	10	0.09476	0:01:41.196265
12	8	0.3347	0:00:20.798669
12	12	0.266	0:00:24.795277
12	12	0.3554	0:00:09.077299
16	16	0.2433	0:00:10.028677
16	16	0.3872	0:00:11.600054
16	16	0.4155	0:00:12.496523
16	16	0.5037	0:00:09.408649
16	16	0.4446	0:00:10.664225
5	14	0.284	0:00:13.683182
5	15	0.2723	0:00:11.536220
5	-1.0	-1.0	0:02:35.674393
5	15	0.3126	0:00:10.645641
5	-1.0	-1.0	0:02:34.253113
14	14	0.2743	0:00:12.063812
14	14	0.3669	0:00:12.597664
14	14	0.3115	0:00:07.756940
14	-1.0	-1.0	0:02:41.821258
14	5	0.1772	0:00:29.723080
15	18	0.06125	0:00:59.816487
15	-1.0	-1.0	0:02:35.993040
15	15	0.3096	0:00:35.955221
15	14	0.2694	0:00:11.459706
15	14	0.1661	0:00:22.669335
16	16	0.5761	0:00:50.324185
16	-1.0	-1.0	0:02:34.168302
16	16	0.2434	0:00:09.549407
16	-1.0	-1.0	0:02:28.079227
16	16	0.6043	0:00:06.831498
18	-1.0	-1.0	0:02:23.522390
18	15	0.3939	0:01:29.522149
18	-1.0	-1.0	0:02:26.832257
18	14	0.3789	0:00:59.669614
18	14	0.4813	0:00:11.955567
2	18	0.1933	0:01:11.010677
2	-1.0	-1.0	0:02:32.375170
2	-1.0	-1.0	0:02:22.832333
2	-1.0	-1.0	0:02:24.308571
2	-1.0	-1.0	0:02:27.236708
4	-1.0	-1.0	0:02:27.537499
4	-1.0	-1.0	0:02:22.167759
4	-1.0	-1.0	0:02:32.547534
4	-1.0	-1.0	0:02:30.298402
4	5	0.1634	0:00:17.768195
5	-1.0	-1.0	0:02:38.141197
5	18	0.433	0:00:23.112919
5	-1.0	-1.0	0:02:31.959941
5	18	0.07475	0:01:10.808702
5	8	0.3078	0:01:09.379244
8	-1.0	-1.0	0:02:49.930255
8	8	0.4671	0:01:37.599349
8	-1.0	-1.0	0:02:40.351493
8	-1.0	-1.0	0:02:28.781541
8	-1.0	-1.0	0:02:27.190085
18	8	0.4436	0:00:57.084648
18	4	0.4557	0:01:24.191821
18	-1.0	-1.0	0:02:42.836778
18	8	0.3998	0:00:20.844291
18	-1.0	-1.0	0:02:40.346441
8	8	0.6035	0:00:12.595194
8	-1.0	-1.0	0:02:32.951442
8	10	0.3621	0:00:11.322853
8	10	0.4724	0:00:12.981981
8	16	0.2123	0:00:36.283244
10	10	0.4589	0:00:11.558056
10	10	0.1307	0:01:23.575213
10	8	0.2125	0:00:33.526406
10	10	0.4117	0:00:09.770535
10	10	0.4257	0:00:08.109956
11	11	0.3812	0:00:11.567201
11	18	0.3299	0:00:11.795188
11	-1.0	-1.0	0:02:34.260835
11	11	0.1337	0:00:20.514830
11	-1.0	-1.0	0:02:44.745022
16	18	0.1266	0:01:22.277691
16	-1.0	-1.0	0:02:45.431012
16	16	0.328	0:00:08.903470
16	16	0.4637	0:00:07.592512
16	16	0.4436	0:00:08.352388
18	-1.0	-1.0	0:02:41.315116
18	-1.0	-1.0	0:02:42.713713
18	16	0.3831	0:00:10.159761
18	10	0.4848	0:00:12.306260
18	10	0.4096	0:00:11.596688
0	7	0.09373	0:00:45.540180
0	0	0.1197	0:02:13.439261
0	-1.0	-1.0	0:02:46.385284
0	-1.0	-1.0	0:02:49.333329
0	-1.0	-1.0	0:02:39.972558
7	7	0.2061	0:00:08.759747
7	7	0.8269	0:00:07.440515
7	7	0.5368	0:00:12.005776
7	7	0.6529	0:00:37.928457
7	7	0.9016	0:00:24.555747
11	-1.0	-1.0	0:02:45.322583
11	-1.0	-1.0	0:02:36.530290
11	11	0.07589	0:02:14.708168
11	7	0.2528	0:00:47.070539
11	11	0.1036	0:00:31.294870
12	-1.0	-1.0	0:02:43.383395
12	12	0.4693	0:00:31.420186
12	-1.0	-1.0	0:02:36.639532
12	-1.0	-1.0	0:02:43.007598
12	-1.0	-1.0	0:02:31.109827
15	15	0.161	0:00:22.708046
15	12	0.404	0:00:09.067449
15	0	0.1423	0:00:37.316936
15	-1.0	-1.0	0:02:30.558029
15	12	0.2146	0:01:25.281256
6	-1.0	-1.0	0:02:29.099778
6	-1.0	-1.0	0:02:29.399805
6	6	0.1653	0:00:11.480128
6	16	0.2125	0:00:19.918945
6	6	0.5465	0:00:11.564164
9	16	0.2625	0:00:17.933297
9	16	0.308	0:00:24.673018
9	-1.0	-1.0	0:02:39.343425
9	16	0.1674	0:00:21.671522
9	16	0.1751	0:00:20.104095
10	10	0.6409	0:01:04.495530
10	10	0.3746	0:00:11.507941
10	10	0.7532	0:00:11.864769
10	-1.0	-1.0	0:02:38.858186
10	-1.0	-1.0	0:02:32.925176
16	-1.0	-1.0	0:02:38.731842
