label	predict	gamma LCB	radius	time	N samples
4	11	0.6822	0.4738	0:00:00.074540	1000
4	4	0.5619	0.1557	0:00:00.067824	1000
4	12	0.591	0.2302	0:00:00.067685	1000
4	4	0.6002	0.2539	0:00:00.068011	1000
4	4	0.6155	0.2936	0:00:00.075394	1000
8	8	0.6484	0.381	0:00:00.077887	1000
8	8	0.6746	0.4526	0:00:00.177815	1000
8	8	0.5982	0.2486	0:00:00.177001	1000
8	8	0.7005	0.526	0:00:00.176878	1000
8	11	0.6294	0.3304	0:00:00.175902	1000
11	11	0.6436	0.3681	0:00:00.175739	1000
11	11	0.8692	1.123	0:00:00.177604	1000
11	-1.0	0.0	-1.0	0:00:17.684646	100000
11	11	0.6785	0.4635	0:00:00.177267	1000
11	11	0.689	0.493	0:00:00.176645	1000
12	12	0.6047	0.2655	0:00:00.177338	1000
12	12	0.6018	0.2579	0:00:00.177267	1000
12	12	0.5088	0.02195	0:00:00.472770	3000
12	12	0.6293	0.3301	0:00:00.157759	1000
12	12	0.5489	0.1229	0:00:00.176983	1000
17	8	0.5123	0.03081	0:00:00.176765	1000
17	8	0.534	0.0853	0:00:00.177712	1000
17	8	0.5259	0.06492	0:00:00.177723	1000
17	8	0.5576	0.145	0:00:00.177163	1000
17	17	0.5021	0.005204	0:00:01.418494	8000
7	14	0.5189	0.04751	0:00:00.177447	1000
7	7	0.6608	0.4146	0:00:00.177479	1000
7	7	0.5591	0.1488	0:00:00.176933	1000
7	7	0.6565	0.4031	0:00:00.177043	1000
7	7	0.6796	0.4665	0:00:00.177355	1000
10	14	0.5456	0.1147	0:00:00.355242	2000
10	10	0.5469	0.1179	0:00:00.177202	1000
10	10	0.5503	0.1264	0:00:00.177317	1000
10	10	0.6319	0.3369	0:00:00.176304	1000
10	19	0.543	0.1079	0:00:00.176665	1000
11	19	0.536	0.09044	0:00:00.177456	1000
11	14	0.5636	0.1602	0:00:00.176960	1000
11	11	0.5559	0.1405	0:00:00.177833	1000
11	19	0.5275	0.06892	0:00:00.176965	1000
11	11	0.551	0.1281	0:00:00.176744	1000
14	7	0.5144	0.03621	0:00:00.176942	1000
14	14	0.5216	0.05412	0:00:00.176736	1000
14	14	0.5888	0.2243	0:00:00.175722	1000
14	7	0.5606	0.1525	0:00:00.176588	1000
14	19	0.6891	0.4933	0:00:00.176690	1000
19	14	0.5325	0.08167	0:00:00.708234	4000
19	14	0.5145	0.03646	0:00:00.176862	1000
19	14	0.6295	0.3306	0:00:00.177419	1000
19	14	0.553	0.1332	0:00:00.176306	1000
19	14	0.6101	0.2797	0:00:00.176795	1000
2	12	0.5008	0.002005	0:00:03.011156	17000
2	12	0.6852	0.4822	0:00:00.177741	1000
2	12	0.6168	0.2971	0:00:00.176591	1000
2	2	0.6583	0.4078	0:00:00.176318	1000
2	12	0.5404	0.1014	0:00:00.176938	1000
6	6	0.6197	0.3046	0:00:00.177659	1000
6	6	0.6299	0.3316	0:00:00.177130	1000
6	2	0.5304	0.07636	0:00:00.177088	1000
6	6	0.5021	0.005215	0:00:01.418789	8000
6	-1.0	0.0	-1.0	0:00:17.696447	100000
11	11	0.6051	0.2665	0:00:00.169167	1000
11	11	0.5591	0.1486	0:00:00.168789	1000
11	6	0.5892	0.2254	0:00:00.177847	1000
11	11	0.6504	0.3864	0:00:00.176555	1000
11	11	0.5643	0.1618	0:00:00.157057	1000
12	11	0.5143	0.03598	0:00:00.311955	2000
12	12	0.7379	0.6369	0:00:00.177104	1000
12	12	0.6946	0.5089	0:00:00.177083	1000
12	6	0.6189	0.3027	0:00:00.176443	1000
12	12	0.57	0.1763	0:00:00.177459	1000
16	-1.0	0.0	-1.0	0:00:17.655196	100000
16	16	0.7962	0.8281	0:00:00.177278	1000
16	16	0.5368	0.09246	0:00:00.353846	2000
16	16	0.5686	0.1729	0:00:00.177239	1000
16	16	0.5613	0.1542	0:00:00.177770	1000
7	7	0.6835	0.4774	0:00:00.154700	1000
7	19	0.7807	0.7745	0:00:00.156791	1000
7	7	0.5444	0.1115	0:00:00.176730	1000
7	7	0.5686	0.1729	0:00:00.177030	1000
7	18	0.5179	0.04499	0:00:00.177790	1000
9	9	0.6755	0.4553	0:00:00.176092	1000
9	9	0.5881	0.2226	0:00:00.177041	1000
9	19	0.5019	0.004657	0:00:01.771494	10000
9	9	0.7206	0.5845	0:00:00.176623	1000
9	9	0.6548	0.3984	0:00:00.177021	1000
15	9	0.5608	0.153	0:00:00.177216	1000
15	19	0.5099	0.02472	0:00:02.274366	13000
15	15	0.5878	0.2219	0:00:00.152551	1000
15	18	0.8798	1.174	0:00:00.177285	1000
15	15	0.6197	0.3046	0:00:00.177125	1000
18	19	0.8795	1.172	0:00:00.177625	1000
18	19	0.5328	0.08241	0:00:00.177147	1000
18	9	0.6262	0.3218	0:00:00.175608	1000
18	9	0.5543	0.1366	0:00:00.176853	1000
18	19	0.9096	1.338	0:00:00.177041	1000
19	18	0.5804	0.2029	0:00:00.176245	1000
19	18	0.5303	0.07608	0:00:00.354331	2000
19	15	0.5618	0.1556	0:00:00.177452	1000
19	15	0.5553	0.1391	0:00:00.177253	1000
19	19	0.5328	0.08222	0:00:00.355289	2000
0	0	0.5819	0.2067	0:00:00.175730	1000
0	8	0.5031	0.007881	0:00:01.064578	6000
0	0	0.5583	0.1467	0:00:00.176634	1000
0	0	0.5632	0.159	0:00:00.353784	2000
0	0	0.6286	0.3281	0:00:00.176397	1000
8	10	0.6481	0.3801	0:00:00.176691	1000
8	10	0.5419	0.1053	0:00:00.355316	2000
8	10	0.5422	0.106	0:00:00.177058	1000
8	10	0.5323	0.08105	0:00:00.353210	2000
8	10	0.5029	0.00728	0:00:01.062660	6000
10	14	0.5341	0.08559	0:00:00.177402	1000
10	10	0.6822	0.4739	0:00:00.709950	4000
10	10	0.519	0.04758	0:00:00.176687	1000
10	10	0.656	0.4016	0:00:00.177106	1000
10	10	0.6349	0.3449	0:00:00.176803	1000
13	13	0.6066	0.2705	0:00:00.177196	1000
13	13	0.5475	0.1193	0:00:00.177032	1000
13	13	0.6456	0.3735	0:00:00.177361	1000
13	13	0.7747	0.7543	0:00:00.177270	1000
13	13	0.5156	0.03918	0:00:00.176704	1000
14	14	0.5479	0.1203	0:00:00.176680	1000
14	14	0.56	0.1509	0:00:00.177398	1000
14	14	0.5358	0.08984	0:00:00.176542	1000
14	10	0.5145	0.03643	0:00:00.176859	1000
14	14	0.5401	0.1006	0:00:00.176852	1000
0	0	0.5307	0.07713	0:00:01.773165	10000
0	16	0.5434	0.1089	0:00:04.941308	28000
0	-1.0	0.0	-1.0	0:00:17.692552	100000
0	9	0.5047	0.01189	0:00:02.837592	16000
0	12	0.5019	0.004699	0:00:02.279249	13000
9	0	0.597	0.2457	0:00:00.176778	1000
9	0	0.7551	0.6906	0:00:00.156672	1000
9	0	0.6741	0.4512	0:00:00.153053	1000
9	19	0.5952	0.2409	0:00:00.157656	1000
9	0	0.6587	0.4088	0:00:00.176935	1000
12	12	0.5099	0.02492	0:00:00.177640	1000
12	12	0.5599	0.1506	0:00:01.595618	9000
12	12	0.7138	0.5646	0:00:00.177154	1000
12	12	0.6267	0.3232	0:00:00.177183	1000
12	12	0.5381	0.09575	0:00:00.176619	1000
16	16	0.5036	0.008991	0:00:00.887335	5000
16	19	0.588	0.2225	0:00:00.177285	1000
16	0	0.8	0.8416	0:00:00.176815	1000
16	0	0.5476	0.1195	0:00:00.176729	1000
16	0	0.6024	0.2595	0:00:01.062649	6000
19	9	0.5281	0.07054	0:00:00.176120	1000
19	0	0.5959	0.2427	0:00:00.177276	1000
19	0	0.6334	0.3409	0:00:00.178095	1000
19	19	0.5344	0.08631	0:00:00.176943	1000
19	19	0.5783	0.1975	0:00:00.177109	1000
3	3	0.5142	0.03549	0:00:00.176378	1000
3	3	0.5335	0.08404	0:00:00.176808	1000
3	3	0.5573	0.144	0:00:00.177400	1000
3	3	0.5078	0.01962	0:00:00.353454	2000
3	6	0.5234	0.05867	0:00:00.531559	3000
6	3	0.5999	0.2531	0:00:00.709706	4000
6	6	0.6673	0.4324	0:00:00.177146	1000
6	6	0.533	0.08281	0:00:00.176734	1000
6	6	0.6013	0.2567	0:00:00.175907	1000
6	6	0.5237	0.05947	0:00:00.176693	1000
7	14	0.5041	0.0102	0:00:00.353867	2000
7	7	0.6548	0.3982	0:00:00.177136	1000
7	7	0.5637	0.1603	0:00:00.177141	1000
7	7	0.639	0.3557	0:00:00.177511	1000
7	7	0.5603	0.1517	0:00:00.354411	2000
10	14	0.5099	0.02479	0:00:00.354215	2000
10	6	0.5395	0.09922	0:00:00.176597	1000
10	10	0.658	0.4069	0:00:00.177549	1000
10	10	0.7147	0.5672	0:00:00.177380	1000
10	10	0.702	0.5301	0:00:00.176172	1000
14	6	0.5399	0.1002	0:00:00.177082	1000
14	6	0.5048	0.012	0:00:00.353281	2000
14	6	0.5625	0.1574	0:00:00.177272	1000
14	10	0.5865	0.2187	0:00:00.176857	1000
14	6	0.5185	0.04644	0:00:00.177338	1000
2	9	0.8072	0.8676	0:00:00.176039	1000
2	9	0.5602	0.1515	0:00:00.177079	1000
2	6	0.5574	0.1444	0:00:00.176512	1000
2	2	0.6357	0.3469	0:00:00.177312	1000
2	18	0.5172	0.04321	0:00:00.177363	1000
6	9	0.5981	0.2484	0:00:00.177350	1000
6	2	0.5137	0.03447	0:00:00.176869	1000
6	6	0.7364	0.6324	0:00:00.176595	1000
6	2	0.5842	0.2127	0:00:00.176785	1000
6	9	0.5474	0.119	0:00:00.176778	1000
9	11	0.6265	0.3226	0:00:00.176991	1000
9	11	0.7926	0.8155	0:00:00.176680	1000
9	11	0.7851	0.7896	0:00:00.176853	1000
9	11	0.7253	0.5988	0:00:00.176842	1000
9	11	0.7654	0.7239	0:00:00.177398	1000
11	2	0.593	0.2354	0:00:03.012520	17000
11	11	0.6664	0.43	0:00:00.353880	2000
11	11	0.737	0.6341	0:00:00.177099	1000
11	11	0.7206	0.5846	0:00:00.176584	1000
11	11	0.6836	0.4777	0:00:00.176535	1000
18	9	0.5132	0.03306	0:00:00.177209	1000
18	9	0.548	0.1207	0:00:00.177349	1000
18	9	0.7713	0.743	0:00:00.176374	1000
18	11	0.5711	0.1792	0:00:00.177526	1000
18	9	0.526	0.06516	0:00:00.176865	1000
1	6	0.568	0.1713	0:00:00.175653	1000
1	13	0.6601	0.4128	0:00:00.176209	1000
1	4	0.6234	0.3144	0:00:00.177022	1000
1	13	0.517	0.0427	0:00:00.176699	1000
1	13	0.5181	0.04537	0:00:00.176503	1000
4	4	0.5711	0.1791	0:00:00.176965	1000
4	13	0.5628	0.1582	0:00:00.177192	1000
4	6	0.5765	0.1929	0:00:00.354672	2000
4	6	0.5807	0.2037	0:00:00.176849	1000
4	4	0.5785	0.1979	0:00:00.176419	1000
6	4	0.5023	0.005878	0:00:00.884593	5000
6	1	0.642	0.3638	0:00:00.177236	1000
6	4	0.7279	0.6064	0:00:00.176965	1000
6	4	0.707	0.5445	0:00:00.532232	3000
6	4	0.5557	0.1401	0:00:00.177314	1000
13	13	0.7093	0.5514	0:00:00.176390	1000
13	13	0.6053	0.267	0:00:00.177589	1000
13	13	0.632	0.3372	0:00:00.176512	1000
13	13	0.6315	0.3357	0:00:00.176991	1000
13	13	0.5409	0.1027	0:00:00.177460	1000
15	15	0.6827	0.4753	0:00:00.177257	1000
15	15	0.5354	0.08874	0:00:00.354398	2000
15	15	0.6333	0.3405	0:00:00.176177	1000
15	15	0.516	0.04012	0:00:00.177407	1000
15	15	0.5177	0.04429	0:00:00.886281	5000
2	2	0.5904	0.2286	0:00:00.175508	1000
2	2	0.5542	0.1362	0:00:00.356056	2000
2	4	0.5088	0.02207	0:00:00.355150	2000
2	17	0.5494	0.1242	0:00:00.177150	1000
2	2	0.7925	0.8151	0:00:00.177128	1000
4	4	0.5478	0.1201	0:00:00.176516	1000
4	4	0.6288	0.3286	0:00:00.176162	1000
4	11	0.5119	0.02995	0:00:00.177728	1000
4	4	0.507	0.01757	0:00:00.176973	1000
4	11	0.5156	0.03907	0:00:00.176661	1000
11	11	0.6297	0.331	0:00:00.177866	1000
11	11	0.7044	0.5372	0:00:00.177423	1000
11	11	0.6332	0.3404	0:00:00.176044	1000
11	11	0.6865	0.486	0:00:00.177680	1000
11	11	0.6026	0.2601	0:00:00.177588	1000
14	17	0.6703	0.4407	0:00:00.176819	1000
14	14	0.6094	0.2777	0:00:00.176604	1000
14	4	0.5498	0.1252	0:00:00.177440	1000
14	14	0.535	0.08783	0:00:00.177001	1000
14	14	0.5027	0.00689	0:00:00.886497	5000
17	2	0.604	0.2637	0:00:00.176540	1000
17	17	0.6065	0.2702	0:00:00.178266	1000
17	17	0.5817	0.2063	0:00:00.177096	1000
17	17	0.5364	0.09139	0:00:00.176796	1000
17	-1.0	0.0	-1.0	0:00:17.605209	100000
2	18	0.5095	0.02373	0:00:00.354851	2000
2	2	0.7135	0.5637	0:00:01.247285	7000
2	12	0.601	0.256	0:00:00.176234	1000
2	16	0.5084	0.02114	0:00:00.892378	5000
2	12	0.5724	0.1825	0:00:00.156298	1000
9	9	0.5829	0.2094	0:00:00.158841	1000
9	9	0.6554	0.4001	0:00:00.177732	1000
9	9	0.5919	0.2325	0:00:00.176927	1000
9	9	0.721	0.5857	0:00:00.176427	1000
9	9	0.608	0.274	0:00:00.175856	1000
12	16	0.6385	0.3544	0:00:00.176706	1000
12	12	0.7466	0.6639	0:00:00.176700	1000
12	12	0.6945	0.5086	0:00:00.176575	1000
12	-1.0	0.0	-1.0	0:00:17.662867	100000
12	12	0.5271	0.06792	0:00:00.176565	1000
16	18	0.5056	0.01413	0:00:01.061649	6000
16	12	0.5553	0.1389	0:00:00.177119	1000
16	-1.0	0.0	-1.0	0:00:15.898814	100000
16	16	0.5388	0.09742	0:00:00.158094	1000
16	16	0.5608	0.153	0:00:00.176755	1000
18	18	0.6474	0.3782	0:00:03.698413	21000
18	18	0.5219	0.05493	0:00:00.156120	1000
18	12	0.5407	0.1021	0:00:00.155577	1000
18	18	0.619	0.3029	0:00:00.470276	3000
18	18	0.7684	0.7335	0:00:00.176633	1000
1	16	0.5582	0.1463	0:00:00.176649	1000
1	1	0.6851	0.4819	0:00:00.177383	1000
1	6	0.5168	0.04225	0:00:00.176794	1000
1	7	0.5782	0.1974	0:00:00.176587	1000
1	7	0.6423	0.3645	0:00:00.176853	1000
5	16	0.5323	0.08101	0:00:00.176838	1000
5	16	0.7089	0.5501	0:00:00.176781	1000
5	5	0.7205	0.5843	0:00:00.710020	4000
5	16	0.6144	0.2909	0:00:00.176142	1000
5	6	0.5196	0.04905	0:00:00.177325	1000
6	5	0.6023	0.2593	0:00:00.354328	2000
6	5	0.5604	0.1521	0:00:00.176475	1000
6	6	0.5073	0.0184	0:00:00.352922	2000
