label	predict	gamma LCB	radius	time	N samples
9	9	0.6495	0.3841	0:00:00.275475	1000
9	9	0.7128	0.5617	0:00:00.275918	1000
9	9	0.6871	0.4878	0:00:00.275648	1000
9	9	0.7315	0.6173	0:00:00.552187	2000
9	18	0.6184	0.3012	0:00:00.275535	1000
18	18	0.7966	0.8296	0:00:00.276434	1000
18	18	0.6666	0.4305	0:00:00.828396	3000
18	18	0.649	0.3826	0:00:00.276738	1000
18	18	0.5095	0.02379	0:00:00.828778	3000
18	18	0.7226	0.5907	0:00:00.276104	1000
41	41	0.6634	0.4218	0:00:00.276278	1000
41	41	0.6962	0.5135	0:00:00.254768	1000
41	18	0.5352	0.08847	0:00:00.271564	1000
41	42	0.5774	0.1954	0:00:00.275267	1000
41	41	0.503	0.007441	0:00:09.823700	37000
42	42	0.7374	0.6352	0:00:00.275601	1000
42	41	0.5042	0.01049	0:00:00.552300	2000
42	42	0.7779	0.765	0:00:00.276571	1000
42	9	0.5357	0.08953	0:00:00.276151	1000
42	42	0.5889	0.2247	0:00:00.178613	1000
48	42	0.5004	0.0009876	0:00:19.512103	72000
48	42	0.5018	0.00448	0:00:14.829981	54000
48	41	0.5136	0.03415	0:00:01.908819	7000
48	42	0.6174	0.2988	0:00:00.275528	1000
48	48	0.5989	0.2506	0:00:00.277094	1000
0	0	0.6625	0.4194	0:00:00.274636	1000
0	7	0.7326	0.6207	0:00:03.232279	12000
0	7	0.5896	0.2264	0:00:00.255040	1000
0	7	0.6549	0.3987	0:00:00.255199	1000
0	0	0.9015	1.29	0:00:00.254698	1000
7	0	0.99	2.326	0:00:00.277150	1000
7	0	0.7658	0.725	0:00:00.276991	1000
7	-1.0	0.0	-1.0	0:00:26.896718	100000
7	7	0.8591	1.076	0:00:00.553027	2000
7	7	0.6223	0.3115	0:00:00.275042	1000
19	0	0.9442	1.591	0:00:00.828104	3000
19	19	0.602	0.2586	0:00:00.275601	1000
19	19	0.5062	0.01555	0:00:00.275661	1000
19	19	0.5375	0.09423	0:00:00.276165	1000
19	-1.0	0.0	-1.0	0:00:27.520322	100000
32	0	0.99	2.326	0:00:00.276042	1000
32	32	0.6161	0.2951	0:00:00.275986	1000
