label	predict	radius	time
12	-1.0	-1.0	0:04:04.906443
12	12	0.4169	0:00:33.210858
12	-1.0	-1.0	0:04:10.730089
12	42	0.07848	0:03:33.014230
12	35	0.6517	0:00:15.936588
35	-1.0	-1.0	0:04:04.102192
35	-1.0	-1.0	0:04:05.782699
35	35	0.284	0:00:21.644763
35	42	0.602	0:01:04.843635
35	-1.0	-1.0	0:04:00.415060
41	-1.0	-1.0	0:04:11.016644
41	-1.0	-1.0	0:04:01.060545
41	42	0.3908	0:00:36.808957
41	-1.0	-1.0	0:04:07.791146
41	-1.0	-1.0	0:04:05.922646
42	12	0.4691	0:00:30.675254
42	35	0.2128	0:00:15.751356
42	42	0.2407	0:01:42.783766
42	42	0.3741	0:03:01.633104
42	45	0.6343	0:02:07.391263
45	-1.0	-1.0	0:04:08.804898
45	35	0.2732	0:00:35.447090
45	42	0.1549	0:00:32.064552
45	45	0.3502	0:00:36.963547
45	12	0.1781	0:02:38.661381
12	36	0.4172	0:00:19.058344
12	12	0.5378	0:00:15.512601
12	12	0.6285	0:00:16.180229
12	12	0.5593	0:01:21.521459
12	32	0.08919	0:03:55.542205
15	15	0.8748	0:00:12.540802
15	15	0.8669	0:00:14.377680
15	15	0.8302	0:00:12.680026
15	12	0.1422	0:00:31.125698
15	15	0.8175	0:00:13.947829
22	32	0.6811	0:00:11.808124
22	22	0.389	0:00:13.098159
22	12	0.5819	0:00:16.307862
22	22	0.1385	0:00:24.464936
22	-1.0	-1.0	0:03:08.458692
32	22	0.5012	0:00:07.434015
32	-1.0	-1.0	0:03:13.744925
32	36	0.5167	0:00:16.275580
32	32	0.4875	0:00:10.217370
32	22	0.1216	0:02:43.943268
36	-1.0	-1.0	0:03:08.976182
36	36	0.08847	0:01:04.482794
36	36	0.1542	0:00:23.381212
36	32	0.0964	0:00:56.831871
36	36	0.1528	0:00:10.592901
12	35	0.3103	0:00:30.536338
12	-1.0	-1.0	0:01:15.028846
12	35	0.09599	0:00:37.758112
12	-1.0	-1.0	0:01:16.206937
12	35	0.04021	0:01:16.361157
27	27	0.3244	0:00:05.054096
27	27	0.1364	0:00:10.614441
27	27	0.2413	0:00:05.058299
27	27	0.3568	0:00:05.041639
27	27	0.4869	0:00:05.073739
31	47	0.2199	0:00:10.569706
31	35	0.1567	0:00:05.001341
31	47	0.2058	0:00:54.366491
31	31	0.685	0:00:05.069340
31	31	0.8016	0:00:05.016988
35	47	0.1665	0:00:10.543259
35	47	0.1695	0:00:10.666186
35	47	0.203	0:00:10.649262
35	35	0.439	0:00:05.010094
35	47	0.2064	0:00:38.853883
47	35	0.2313	0:00:10.724090
47	47	0.1179	0:00:30.232252
47	47	0.1964	0:00:10.467292
47	-1.0	-1.0	0:01:13.036335
47	-1.0	-1.0	0:01:13.915147
0	0	0.4605	0:00:16.477709
0	-1.0	-1.0	0:01:14.690294
0	0	0.6894	0:00:10.682152
0	-1.0	-1.0	0:01:14.155879
0	0	0.2802	0:00:46.037335
1	-1.0	-1.0	0:01:13.529135
1	-1.0	-1.0	0:01:14.804276
1	-1.0	-1.0	0:01:15.075044
1	0	0.3037	0:00:38.106392
1	-1.0	-1.0	0:01:14.995456
7	-1.0	-1.0	0:01:13.970236
7	0	0.3525	0:00:23.284924
7	-1.0	-1.0	0:01:13.967410
7	0	0.1628	0:01:04.098603
7	-1.0	-1.0	0:01:14.602683
15	15	0.5538	0:00:05.008075
15	15	0.5361	0:00:05.134752
15	15	0.507	0:00:05.067774
15	15	0.541	0:00:05.068100
15	15	0.6185	0:00:05.060510
42	0	0.74	0:00:10.725580
42	-1.0	-1.0	0:01:13.702191
42	-1.0	-1.0	0:01:15.138323
42	-1.0	-1.0	0:01:16.547902
42	-1.0	-1.0	0:01:16.779233
0	-1.0	-1.0	0:01:15.495171
0	-1.0	-1.0	0:01:14.629745
0	10	0.3436	0:00:55.748286
0	-1.0	-1.0	0:01:15.221519
0	10	0.1492	0:01:14.896558
5	5	0.8639	0:00:05.078713
5	5	0.7439	0:00:05.047055
5	5	0.2387	0:00:05.073894
5	5	0.534	0:00:55.340875
5	5	0.2803	0:00:05.020169
10	10	0.3751	0:00:37.850603
10	-1.0	-1.0	0:01:14.732137
10	10	0.1603	0:01:13.797110
10	-1.0	-1.0	0:01:14.475647
10	10	0.1497	0:01:14.383756
24	10	0.207	0:00:38.107439
24	-1.0	-1.0	0:01:13.750578
24	10	0.2295	0:00:30.579843
24	10	0.2126	0:00:30.623132
24	-1.0	-1.0	0:01:14.726522
40	40	1.097	0:00:38.192326
40	-1.0	-1.0	0:01:14.867282
40	-1.0	-1.0	0:01:14.489992
40	-1.0	-1.0	0:01:13.758795
40	10	0.1701	0:00:53.915801
7	-1.0	-1.0	0:01:12.653705
7	-1.0	-1.0	0:01:13.824926
7	-1.0	-1.0	0:01:13.341729
7	-1.0	-1.0	0:01:13.850240
7	-1.0	-1.0	0:01:12.992075
14	-1.0	-1.0	0:01:13.364371
14	-1.0	-1.0	0:01:13.084804
14	-1.0	-1.0	0:01:13.721449
14	14	0.1439	0:00:38.034001
14	-1.0	-1.0	0:01:14.130113
32	46	0.2208	0:00:23.476145
32	42	0.29	0:00:10.674687
32	7	0.1361	0:00:38.489991
32	-1.0	-1.0	0:01:15.021102
32	-1.0	-1.0	0:01:15.878622
42	-1.0	-1.0	0:01:14.259909
42	42	0.2211	0:00:46.336257
42	14	0.1464	0:00:38.056198
42	-1.0	-1.0	0:01:14.231339
42	-1.0	-1.0	0:01:14.850310
46	-1.0	-1.0	0:01:14.996361
46	-1.0	-1.0	0:01:14.588516
46	7	0.1836	0:00:55.540882
46	-1.0	-1.0	0:01:15.734447
46	-1.0	-1.0	0:01:15.422424
0	-1.0	-1.0	0:01:15.948718
0	-1.0	-1.0	0:01:16.262273
0	0	0.2096	0:00:10.631014
0	0	0.2586	0:00:10.515703
0	0	0.153	0:00:16.801768
12	0	0.5065	0:01:05.019277
12	0	0.4377	0:00:16.806026
12	-1.0	-1.0	0:01:15.699899
12	0	0.1513	0:00:16.732679
12	-1.0	-1.0	0:01:16.456392
20	38	0.2062	0:00:05.093481
20	-1.0	-1.0	0:01:17.100988
20	-1.0	-1.0	0:01:14.052061
20	-1.0	-1.0	0:01:15.124290
20	20	0.4186	0:00:05.013724
26	0	0.1199	0:00:23.112387
26	0	0.194	0:00:10.692506
26	0	0.3696	0:00:38.803852
26	0	0.2922	0:00:05.087690
26	0	0.08481	0:00:46.615905
38	38	0.4187	0:00:10.716563
38	0	0.1229	0:00:23.760730
38	38	0.161	0:00:16.902241
38	-1.0	-1.0	0:01:15.855361
38	-1.0	-1.0	0:01:15.607874
12	12	0.07522	0:00:30.788843
12	47	0.3328	0:00:05.020904
12	12	0.242	0:00:23.601736
12	-1.0	-1.0	0:01:16.654631
12	12	0.2971	0:00:16.519381
18	18	0.7094	0:00:05.075035
18	18	0.4126	0:00:05.107630
18	12	0.6402	0:00:10.702322
18	18	0.2084	0:00:05.139626
18	18	0.1431	0:00:10.695454
22	22	0.188	0:00:05.045494
22	-1.0	-1.0	0:01:16.458763
22	22	0.08454	0:00:23.230266
22	47	0.4873	0:00:05.061704
22	22	0.1097	0:00:10.699905
25	-1.0	-1.0	0:01:16.948121
25	-1.0	-1.0	0:01:16.411780
25	-1.0	-1.0	0:01:14.883675
25	47	0.2554	0:00:10.488679
25	47	0.1987	0:00:10.570711
47	-1.0	-1.0	0:01:11.741655
47	47	0.2595	0:00:10.415526
47	47	0.3121	0:00:04.975960
47	47	0.2081	0:00:29.662527
47	-1.0	-1.0	0:01:11.937637
13	13	0.107	0:00:10.439474
13	13	0.6159	0:00:22.813795
13	13	0.5946	0:00:04.928501
13	-1.0	-1.0	0:01:11.730354
13	-1.0	-1.0	0:01:11.407182
16	-1.0	-1.0	0:01:11.805473
16	25	0.2705	0:00:10.401796
16	-1.0	-1.0	0:01:11.837279
16	-1.0	-1.0	0:01:11.097407
16	25	0.5967	0:00:10.406858
25	25	0.4713	0:00:04.984552
25	25	0.4162	0:00:04.935608
25	25	0.6245	0:00:36.561002
25	25	0.2593	0:00:04.979005
25	-1.0	-1.0	0:01:11.439449
37	16	0.6004	0:00:04.992534
37	-1.0	-1.0	0:01:11.867729
37	37	0.562	0:00:04.980601
37	37	0.5241	0:00:04.999000
37	-1.0	-1.0	0:01:11.548138
48	48	0.4028	0:00:05.003808
48	-1.0	-1.0	0:01:11.322023
48	25	0.1025	0:00:10.512391
48	25	0.2488	0:00:22.766112
48	48	0.09564	0:00:37.068379
2	25	0.1525	0:00:10.502817
2	2	0.7364	0:00:04.982779
2	-1.0	-1.0	0:01:11.328766
2	25	0.1216	0:00:22.667356
2	2	0.2849	0:00:04.979816
25	25	0.6208	0:00:04.994217
25	25	0.3719	0:00:44.508652
25	25	0.901	0:00:05.006654
25	25	0.3917	0:00:16.318379
25	2	0.4224	0:00:04.990770
29	29	0.5303	0:00:04.945793
29	29	0.3828	0:00:16.142574
29	29	0.1641	0:00:04.997606
29	29	0.1267	0:00:10.343000
29	29	0.2154	0:00:04.935598
31	25	0.2914	0:00:10.468108
31	2	0.8959	0:00:04.986996
31	-1.0	-1.0	0:01:11.740368
31	2	0.2061	0:00:10.492996
31	29	0.08996	0:00:36.981540
37	2	0.3349	0:00:10.446615
37	37	0.07907	0:00:10.445834
37	-1.0	-1.0	0:01:11.864182
37	37	0.6636	0:00:05.020116
37	37	0.3229	0:00:04.940144
6	6	0.258	0:00:04.951219
6	6	0.2871	0:00:29.169047
6	13	0.1016	0:00:37.037543
6	11	0.3029	0:00:04.966383
6	6	0.07015	0:00:44.749422
11	-1.0	-1.0	0:01:11.536170
11	6	0.2479	0:00:04.929513
11	23	0.2011	0:00:04.950146
11	-1.0	-1.0	0:01:11.733755
11	6	0.2934	0:00:04.892464
13	13	0.276	0:00:04.948930
13	13	0.4871	0:00:04.919149
13	13	0.2838	0:00:04.905839
13	13	0.4526	0:01:10.852197
13	13	0.1874	0:00:10.371168
23	6	0.428	0:00:29.190730
23	6	0.09597	0:00:29.155074
23	6	0.07701	0:00:22.296468
23	23	0.1078	0:00:16.279051
23	39	0.4269	0:00:22.333969
39	39	0.9341	0:00:04.885889
39	-1.0	-1.0	0:01:10.854664
39	39	0.7301	0:00:22.319160
39	39	0.6521	0:00:10.370571
39	11	0.2522	0:00:04.927917
4	4	0.4052	0:00:04.904494
4	4	0.4045	0:00:04.966958
4	4	0.1279	0:00:29.197581
4	-1.0	-1.0	0:01:10.601391
4	-1.0	-1.0	0:01:11.338126
14	-1.0	-1.0	0:01:12.114461
14	-1.0	-1.0	0:01:12.333940
14	-1.0	-1.0	0:01:12.263798
14	-1.0	-1.0	0:01:12.122957
14	-1.0	-1.0	0:01:12.067209
24	24	0.3387	0:00:53.337398
24	-1.0	-1.0	0:01:10.626064
24	-1.0	-1.0	0:01:11.406475
24	24	0.5076	0:00:22.602644
24	-1.0	-1.0	0:01:16.251693
31	-1.0	-1.0	0:01:15.907802
31	-1.0	-1.0	0:01:14.349014
31	-1.0	-1.0	0:01:11.865638
31	31	0.3291	0:00:04.967779
31	-1.0	-1.0	0:01:12.366254
41	-1.0	-1.0	0:01:12.207940
41	-1.0	-1.0	0:01:12.715491
41	-1.0	-1.0	0:01:12.037925
41	-1.0	-1.0	0:01:11.403075
41	14	0.4382	0:00:29.053789
31	47	0.7728	0:00:16.275881
31	31	0.2218	0:00:04.986292
31	31	0.1216	0:00:22.759603
31	-1.0	-1.0	0:01:12.364780
31	47	0.1582	0:00:05.010321
33	-1.0	-1.0	0:01:12.946433
33	33	0.6751	0:00:05.041260
33	-1.0	-1.0	0:01:14.592465
33	-1.0	-1.0	0:01:13.302962
33	33	0.467	0:00:04.978215
37	37	0.4172	0:01:11.799865
37	-1.0	-1.0	0:01:12.200312
37	47	0.1901	0:00:04.953452
37	-1.0	-1.0	0:01:11.957384
37	47	0.05383	0:00:44.939264
38	-1.0	-1.0	0:01:12.524274
38	38	0.3635	0:00:05.000992
38	37	0.2189	0:00:10.638104
38	31	0.1923	0:00:10.671812
38	38	0.2516	0:00:04.965601
47	-1.0	-1.0	0:01:11.671768
47	37	0.1008	0:00:29.111432
47	47	0.3973	0:00:16.395373
47	47	0.4857	0:00:10.569723
47	-1.0	-1.0	0:01:11.430551
4	4	0.4029	0:00:04.972757
4	4	0.9369	0:00:04.961181
4	-1.0	-1.0	0:01:10.831460
4	4	0.6166	0:00:04.921583
4	21	0.4778	0:00:16.252695
13	13	0.2777	0:00:04.964015
13	13	0.4069	0:00:04.945212
13	13	0.2846	0:00:04.976498
13	13	0.4386	0:00:04.954984
13	13	0.2257	0:00:10.368767
21	37	0.2325	0:00:04.992399
21	37	0.1673	0:00:16.004909
21	-1.0	-1.0	0:01:10.747188
21	48	0.1874	0:00:04.917992
21	37	0.4391	0:00:04.970758
37	37	0.1557	0:00:16.040744
37	-1.0	-1.0	0:01:10.646458
37	37	0.1833	0:00:10.428695
37	-1.0	-1.0	0:01:11.147237
37	-1.0	-1.0	0:01:10.990548
48	48	0.1767	0:00:10.311858
48	-1.0	-1.0	0:01:10.848236
48	37	0.3217	0:00:04.908026
48	37	0.1481	0:00:10.468936
