label	predict	radius	time
0	16	0.29	0:00:06.547329
0	-1.0	-1.0	0:02:07.424093
0	16	0.5065	0:00:30.274635
0	-1.0	-1.0	0:02:14.486856
0	16	0.06691	0:00:26.815424
5	5	0.4431	0:00:14.079522
5	-1.0	-1.0	0:02:19.488276
5	5	0.05266	0:01:09.147856
5	-1.0	-1.0	0:01:58.482504
5	5	0.2225	0:00:07.318096
7	5	0.3471	0:00:08.582426
7	5	0.3348	0:00:13.805803
7	16	0.1078	0:00:14.574349
7	-1.0	-1.0	0:02:20.847740
7	5	0.1901	0:00:17.979053
16	-1.0	-1.0	0:02:00.057512
16	16	0.4829	0:00:06.403806
16	16	0.6633	0:00:06.124584
16	16	0.6011	0:00:45.813662
16	-1.0	-1.0	0:01:59.310429
17	5	0.05219	0:00:44.851073
17	16	0.2497	0:00:07.912116
17	-1.0	-1.0	0:01:55.096931
17	-1.0	-1.0	0:02:06.117379
17	-1.0	-1.0	0:01:57.648798
2	15	0.09349	0:01:48.806304
2	2	0.6579	0:00:07.812228
2	-1.0	-1.0	0:01:51.430632
2	-1.0	-1.0	0:01:59.386926
2	2	0.5078	0:00:13.510392
8	15	0.1294	0:00:44.339547
8	-1.0	-1.0	0:02:02.458431
8	-1.0	-1.0	0:02:03.390754
8	-1.0	-1.0	0:02:08.005563
8	-1.0	-1.0	0:02:06.129679
13	-1.0	-1.0	0:02:04.861891
13	-1.0	-1.0	0:02:27.199052
13	15	0.6249	0:00:12.903478
13	-1.0	-1.0	0:02:03.802391
13	8	0.3473	0:00:21.372659
14	14	0.3733	0:00:08.750196
14	-1.0	-1.0	0:01:57.657290
14	-1.0	-1.0	0:02:24.020083
14	-1.0	-1.0	0:02:17.418039
14	-1.0	-1.0	0:02:03.852611
15	-1.0	-1.0	0:01:56.641933
15	-1.0	-1.0	0:02:14.224030
15	15	0.2621	0:00:16.352518
15	-1.0	-1.0	0:02:06.192922
15	15	0.3895	0:00:15.802390
14	14	0.1906	0:00:06.182572
14	14	0.4505	0:00:06.215024
14	15	0.2255	0:00:13.461658
14	-1.0	-1.0	0:02:08.405914
14	14	0.3805	0:00:10.167010
15	15	0.4282	0:00:06.112553
15	-1.0	-1.0	0:01:52.072709
15	15	0.1893	0:00:06.974040
15	-1.0	-1.0	0:01:57.567368
15	-1.0	-1.0	0:02:11.196191
16	14	0.1352	0:00:14.573076
16	-1.0	-1.0	0:01:55.751871
16	15	0.527	0:00:17.607866
16	-1.0	-1.0	0:02:22.394471
16	-1.0	-1.0	0:02:12.417848
17	17	0.3765	0:00:18.577954
17	18	0.1311	0:00:05.262178
17	-1.0	-1.0	0:02:11.590501
17	14	0.2056	0:00:07.753588
17	14	0.4835	0:00:17.338945
18	18	0.08547	0:00:14.181016
18	14	0.3365	0:00:51.993713
18	-1.0	-1.0	0:02:14.472252
18	15	0.5612	0:00:06.027014
18	15	0.1414	0:00:05.978086
0	0	0.2592	0:00:06.463678
0	-1.0	-1.0	0:02:01.198233
0	-1.0	-1.0	0:02:00.184767
0	0	0.4413	0:00:20.035381
0	-1.0	-1.0	0:01:43.919071
7	15	0.106	0:00:51.930016
7	0	0.3065	0:00:06.846843
7	-1.0	-1.0	0:02:06.611527
7	13	0.2321	0:00:08.335373
7	16	0.1154	0:00:23.744854
13	-1.0	-1.0	0:02:04.404302
13	13	0.2024	0:00:47.865490
13	-1.0	-1.0	0:01:57.808029
13	13	0.3062	0:01:44.395444
13	0	0.1919	0:00:06.651569
15	0	0.412	0:00:21.471115
15	-1.0	-1.0	0:02:08.784356
15	15	0.3551	0:00:05.418238
15	13	0.2078	0:00:10.373198
15	16	0.08225	0:00:45.479375
16	16	0.2508	0:00:07.284807
16	16	0.3477	0:00:05.741745
16	16	0.3178	0:00:06.563618
16	16	0.3579	0:00:06.215996
16	16	0.2824	0:00:05.917561
3	-1.0	-1.0	0:02:29.186483
3	16	0.07745	0:00:58.588973
3	8	0.191	0:00:06.462164
3	8	0.5576	0:00:05.582647
3	8	0.4745	0:00:30.364229
4	8	0.7269	0:01:07.820741
4	8	0.6093	0:00:28.563552
4	8	0.1783	0:00:31.982148
4	8	0.6163	0:00:05.421998
4	8	0.3077	0:01:06.042612
8	8	0.3372	0:00:05.915567
8	-1.0	-1.0	0:01:52.949674
8	8	0.2897	0:00:11.940301
8	-1.0	-1.0	0:02:02.019467
8	8	0.2624	0:00:07.543384
13	-1.0	-1.0	0:01:39.415063
13	8	0.2673	0:00:05.762012
13	-1.0	-1.0	0:01:47.895767
13	16	0.1872	0:00:05.432114
13	16	0.1741	0:00:13.449840
16	-1.0	-1.0	0:01:47.235113
16	8	0.2858	0:00:06.341021
16	16	0.1459	0:02:01.588855
16	-1.0	-1.0	0:02:18.169553
16	16	0.2692	0:00:05.688941
0	12	0.6342	0:00:05.181059
0	-1.0	-1.0	0:02:01.852083
0	-1.0	-1.0	0:01:46.180710
0	2	0.04723	0:01:32.509439
0	10	0.1733	0:00:06.781483
2	10	0.1307	0:00:41.143411
2	-1.0	-1.0	0:02:02.787025
2	7	0.04389	0:01:53.699533
2	10	0.05756	0:01:00.222677
2	12	0.1	0:00:18.849792
7	-1.0	-1.0	0:02:07.533276
7	-1.0	-1.0	0:02:19.511499
7	12	0.2829	0:00:06.257505
7	10	0.2405	0:00:05.569977
7	7	0.07848	0:00:23.460534
10	12	0.481	0:00:10.330657
10	-1.0	-1.0	0:01:54.293689
10	-1.0	-1.0	0:01:54.578837
10	12	0.2147	0:00:05.960480
10	12	0.5758	0:00:05.276335
12	7	0.09073	0:00:32.523293
12	12	0.4813	0:00:06.682414
12	-1.0	-1.0	0:01:54.219982
12	12	0.3053	0:00:05.234880
12	-1.0	-1.0	0:02:07.744420
7	8	0.189	0:00:09.203218
7	8	0.1207	0:00:14.328257
7	7	0.6085	0:00:14.328454
7	8	0.1868	0:00:30.696991
7	8	0.3432	0:00:37.290767
8	-1.0	-1.0	0:01:55.282204
8	8	0.5591	0:00:05.617689
8	8	0.5056	0:00:13.192387
8	-1.0	-1.0	0:02:08.701927
8	8	0.8041	0:00:13.902414
12	-1.0	-1.0	0:02:09.465216
12	12	0.04178	0:01:54.893889
12	8	0.7783	0:00:05.268686
12	8	0.4675	0:00:07.225368
12	8	0.1339	0:00:05.677080
15	8	0.453	0:02:07.922502
15	-1.0	-1.0	0:02:00.006464
15	8	0.5237	0:00:32.856898
15	8	0.2393	0:00:12.691971
15	8	0.361	0:00:13.755421
18	8	0.7787	0:00:14.869041
18	8	0.5667	0:00:07.755510
18	-1.0	-1.0	0:02:03.807365
18	-1.0	-1.0	0:02:10.898882
18	8	0.138	0:00:15.360826
2	-1.0	-1.0	0:02:07.323242
2	13	0.5488	0:01:03.920731
2	2	0.1906	0:00:06.214436
2	13	0.1484	0:00:05.255995
2	-1.0	-1.0	0:01:52.765368
13	-1.0	-1.0	0:01:48.352401
13	13	0.5576	0:00:12.847314
13	16	0.07785	0:00:58.778485
13	15	0.306	0:01:28.842242
13	-1.0	-1.0	0:01:48.220725
15	15	0.3748	0:00:20.025940
15	15	0.2517	0:00:38.854977
15	15	0.2163	0:00:09.476318
15	13	0.4148	0:00:14.674845
15	15	0.09593	0:00:20.210297
16	15	0.2132	0:00:06.640184
16	15	0.2102	0:00:07.189961
16	16	0.5023	0:02:04.478487
16	16	0.09026	0:00:44.505544
16	16	0.07772	0:00:39.291333
18	16	0.1914	0:00:07.321028
18	16	0.4391	0:00:57.908627
18	-1.0	-1.0	0:01:56.506675
18	16	0.1158	0:00:19.925971
18	15	0.2814	0:00:05.754441
6	-1.0	-1.0	0:02:04.822168
6	10	0.1865	0:00:05.615793
6	10	0.4337	0:00:28.839105
6	11	0.6017	0:00:13.301934
6	-1.0	-1.0	0:02:13.432431
10	11	0.3173	0:00:56.451448
10	-1.0	-1.0	0:02:06.873349
10	11	0.628	0:00:21.981877
10	11	0.3524	0:00:06.266914
10	-1.0	-1.0	0:01:56.466723
11	-1.0	-1.0	0:01:52.443203
11	-1.0	-1.0	0:01:57.498218
11	10	0.1273	0:00:10.303754
11	11	0.5546	0:00:16.985728
11	11	0.2067	0:01:16.018331
14	10	0.139	0:01:19.433634
14	10	0.4028	0:00:05.597517
14	14	0.0379	0:02:00.807936
14	-1.0	-1.0	0:01:59.248080
14	10	0.09701	0:00:19.792914
17	-1.0	-1.0	0:02:09.853848
17	11	0.1842	0:01:11.645482
17	14	0.04634	0:01:08.779309
17	11	0.4038	0:01:27.965393
17	-1.0	-1.0	0:02:02.066322
0	14	0.6847	0:02:11.261994
0	14	0.6579	0:00:18.717785
0	14	0.2962	0:00:13.910260
0	14	0.3691	0:00:07.116998
0	14	0.4774	0:00:52.147284
2	14	0.5438	0:00:21.583130
2	-1.0	-1.0	0:02:15.304501
2	-1.0	-1.0	0:01:54.071340
2	-1.0	-1.0	0:01:40.777525
2	-1.0	-1.0	0:01:47.398056
10	14	0.3711	0:00:12.610585
10	14	0.1806	0:00:06.030667
10	14	0.135	0:00:05.964169
10	2	0.09587	0:01:49.208789
10	14	0.2448	0:00:06.269977
11	14	0.3434	0:00:06.412730
11	14	0.5954	0:00:05.948015
11	-1.0	-1.0	0:01:58.446457
11	11	0.124	0:00:12.655625
11	14	0.3353	0:00:07.116661
14	-1.0	-1.0	0:01:51.792008
14	-1.0	-1.0	0:01:32.607256
14	11	0.08696	0:00:40.025096
14	14	0.7245	0:00:16.661214
14	14	0.7141	0:00:06.158738
2	-1.0	-1.0	0:01:40.544568
2	9	0.1476	0:00:05.688774
2	9	0.3455	0:00:05.150714
2	-1.0	-1.0	0:01:55.981520
2	9	0.05025	0:01:48.886364
4	4	0.1131	0:00:11.223110
4	9	0.7615	0:00:10.291589
4	9	0.4318	0:00:05.378555
4	4	0.2379	0:00:05.130724
4	9	0.6219	0:00:10.890759
9	9	0.1882	0:00:05.122402
9	-1.0	-1.0	0:01:33.314188
9	9	0.5655	0:01:59.749850
9	9	0.8268	0:00:14.191285
9	16	0.133	0:00:19.937827
13	9	0.08241	0:00:10.875677
13	13	0.2336	0:00:06.865224
13	-1.0	-1.0	0:01:37.419213
13	9	0.4683	0:01:19.075958
13	-1.0	-1.0	0:01:38.349784
16	16	0.09323	0:00:11.089806
16	9	0.4925	0:00:05.587857
16	-1.0	-1.0	0:01:54.453271
16	16	0.123	0:00:31.103879
16	-1.0	-1.0	0:01:41.623836
8	10	0.1169	0:00:48.925482
8	-1.0	-1.0	0:01:37.832130
8	8	0.1421	0:01:20.704659
8	-1.0	-1.0	0:01:35.664630
8	8	0.3461	0:01:44.610277
10	-1.0	-1.0	0:01:45.950344
10	10	0.2117	0:00:35.013322
10	-1.0	-1.0	0:01:59.005732
10	8	0.2752	0:00:19.164556
10	-1.0	-1.0	0:02:02.787608
11	-1.0	-1.0	0:01:58.772606
11	12	0.1024	0:00:09.839857
11	17	0.1097	0:00:22.002958
11	12	0.2255	0:00:08.487560
11	-1.0	-1.0	0:01:43.403913
12	12	0.2377	0:00:11.647135
12	10	0.04461	0:01:15.557134
12	-1.0	-1.0	0:01:48.607493
12	-1.0	-1.0	0:01:58.954181
