label	predict	gamma LCB	radius	time	N samples
4	12	0.561	0.1536	0:00:00.180732	1000
4	4	0.7067	0.5438	0:00:00.531716	3000
4	12	0.5476	0.1197	0:00:00.177379	1000
4	12	0.5987	0.2499	0:00:00.354968	2000
4	12	0.6232	0.3138	0:00:00.177533	1000
8	8	0.5506	0.1271	0:00:00.156967	1000
8	17	0.5912	0.2305	0:00:00.158020	1000
8	8	0.5571	0.1437	0:00:00.156716	1000
8	12	0.5087	0.0217	0:00:00.353411	2000
8	8	0.5766	0.1932	0:00:00.177891	1000
11	17	0.5111	0.02775	0:00:00.177556	1000
11	17	0.5682	0.1719	0:00:00.176880	1000
11	17	0.5101	0.0252	0:00:00.178173	1000
11	17	0.5475	0.1194	0:00:00.176819	1000
11	17	0.5242	0.06073	0:00:00.177039	1000
12	8	0.5168	0.0422	0:00:00.176924	1000
12	17	0.5266	0.0667	0:00:00.176810	1000
12	17	0.5833	0.2102	0:00:00.176786	1000
12	17	0.6763	0.4574	0:00:00.177388	1000
12	12	0.5512	0.1287	0:00:00.177799	1000
17	17	0.6223	0.3115	0:00:00.177244	1000
17	17	0.7651	0.7228	0:00:00.177636	1000
17	17	0.6896	0.4948	0:00:00.175668	1000
17	17	0.5762	0.1922	0:00:00.177312	1000
17	12	0.5311	0.07796	0:00:00.177174	1000
7	19	0.6334	0.341	0:00:00.178404	1000
7	11	0.569	0.1739	0:00:00.176541	1000
7	7	0.5327	0.08201	0:00:00.177304	1000
7	7	0.5328	0.0822	0:00:00.177440	1000
7	7	0.5634	0.1597	0:00:00.176888	1000
10	19	0.5504	0.1266	0:00:00.177263	1000
10	10	0.5678	0.1707	0:00:00.177699	1000
10	11	0.5434	0.109	0:00:00.177807	1000
10	10	0.6665	0.4301	0:00:01.598638	9000
10	10	0.5736	0.1856	0:00:00.177658	1000
11	10	0.5601	0.1512	0:00:00.177669	1000
11	10	0.5439	0.1102	0:00:00.176910	1000
11	10	0.5582	0.1463	0:00:00.177053	1000
11	10	0.6585	0.4085	0:00:00.176588	1000
11	10	0.8008	0.8445	0:00:00.177932	1000
14	10	0.5093	0.0233	0:00:00.532244	3000
14	7	0.5043	0.01081	0:00:01.953507	11000
14	10	0.6901	0.4963	0:00:00.176593	1000
14	19	0.5473	0.119	0:00:00.175964	1000
14	19	0.6494	0.3837	0:00:00.181056	1000
19	19	0.653	0.3934	0:00:00.177928	1000
19	7	0.625	0.3186	0:00:00.176293	1000
19	19	0.5547	0.1375	0:00:00.177811	1000
19	19	0.6392	0.3562	0:00:00.176683	1000
19	7	0.5348	0.08729	0:00:00.177868	1000
2	2	0.7084	0.5488	0:00:00.177147	1000
2	6	0.693	0.5044	0:00:00.176984	1000
2	6	0.5248	0.06225	0:00:00.177693	1000
2	2	0.5505	0.127	0:00:00.177594	1000
2	2	0.5613	0.1542	0:00:00.176806	1000
6	6	0.7678	0.7316	0:00:00.160426	1000
6	6	0.5505	0.127	0:00:00.158119	1000
6	6	0.7096	0.5522	0:00:00.177531	1000
6	6	0.6943	0.508	0:00:00.177230	1000
6	6	0.7265	0.6021	0:00:00.177409	1000
11	12	0.5389	0.0976	0:00:00.177080	1000
11	16	0.5007	0.001843	0:00:08.331625	47000
11	12	0.5351	0.08811	0:00:00.177000	1000
11	16	0.6037	0.2628	0:00:00.355354	2000
11	16	0.54	0.1003	0:00:00.176643	1000
12	16	0.6163	0.2959	0:00:00.535286	3000
12	16	0.6087	0.276	0:00:00.177010	1000
12	16	0.5945	0.2391	0:00:00.177799	1000
12	16	0.6192	0.3033	0:00:00.177960	1000
12	16	0.7123	0.56	0:00:00.177243	1000
16	12	0.5177	0.04449	0:00:00.176933	1000
16	16	0.6501	0.3855	0:00:00.154766	1000
16	16	0.6514	0.3892	0:00:00.177189	1000
16	16	0.557	0.1434	0:00:00.709566	4000
16	6	0.5475	0.1193	0:00:00.177641	1000
7	19	0.6147	0.2917	0:00:11.687815	66000
7	7	0.5572	0.1439	0:00:00.176995	1000
7	7	0.6623	0.4186	0:00:00.355235	2000
7	19	0.5219	0.05496	0:00:00.177282	1000
7	9	0.5632	0.1592	0:00:00.177471	1000
9	9	0.7064	0.543	0:00:00.177574	1000
9	9	0.7012	0.5277	0:00:00.177553	1000
9	9	0.6809	0.4704	0:00:01.422653	8000
9	9	0.6109	0.2816	0:00:00.178482	1000
9	9	0.7041	0.5364	0:00:00.181181	1000
15	9	0.536	0.0904	0:00:00.178177	1000
15	9	0.5874	0.2208	0:00:00.176951	1000
15	9	0.5255	0.06404	0:00:00.177711	1000
15	9	0.5425	0.1068	0:00:00.157696	1000
15	15	0.5179	0.04483	0:00:00.172686	1000
18	9	0.5604	0.1519	0:00:00.172756	1000
18	19	0.6038	0.2632	0:00:00.171786	1000
18	15	0.5157	0.0393	0:00:00.326189	2000
18	19	0.5205	0.05136	0:00:00.153758	1000
18	19	0.628	0.3266	0:00:00.154132	1000
19	9	0.6222	0.3113	0:00:00.155479	1000
19	18	0.6176	0.2991	0:00:00.154276	1000
19	18	0.5164	0.04107	0:00:00.332705	2000
19	19	0.6271	0.3242	0:00:02.668365	15000
19	9	0.5042	0.01045	0:00:00.535830	3000
0	0	0.5268	0.06721	0:00:00.175497	1000
0	0	0.5537	0.135	0:00:00.177940	1000
0	0	0.6194	0.3039	0:00:01.782254	10000
0	14	0.5502	0.1262	0:00:00.177631	1000
0	0	0.6629	0.4204	0:00:00.177260	1000
